Source url,Source title,Response code,Backlinks,Domains,External links,Internal links,Last seen
https://polln.com/,,200,367,230,,,2025-12-22
https://www.polln.com/,,200,246,167,,,2026-01-05
https://www.polln.com/library/ultimate-guide-to-vaping-medicinal-cannabis,,200,246,236,,,2026-03-26
https://www.polln.com/library/sativa-vs-indica-vs-hybrid-cannabis-what-to-expect,,200,240,219,,,2026-04-08
https://www.polln.com/library/travelling-as-a-medicinal-cannabis-patient-in-australia-what-you-need-to-know,,200,235,235,,,2026-05-16
https://www.polln.com/locations/adelaide,,200,127,112,,,2026-02-17
https://www.polln.com/library/how-long-do-edibles-take-to-expire,,200,100,100,,,2026-05-24
https://www.polln.com/locations/canberra,,200,100,100,,,2026-05-17
https://www.polln.com/medicinal-cannabis-library/everything-you-need-to-know-about-cannabis-terpenes,,200,55,50,,,2026-05-01
http://polln.com/,,200,47,39,,,2026-02-15
http://www.polln.com/,,200,21,10,,,2026-05-25
https://www.polln.com/library/everything-you-need-to-know-about-the-terpenes-in-your-prescription-natural-medicine,,200,15,2,,,2026-05-12
https://www.polln.com/locations/hobart,,200,10,8,,,2025-11-26
https://www.polln.com/medicinal-cannabis-library/medicinal-cannabis-for-anxiety-explained,,200,8,2,,,2026-04-26
https://www.polln.com/medicinal-cannabis-library/everything-you-need-to-know-about-cannabinoids-more-than-just-cbd-and-thc,,200,6,2,,,2026-05-02
https://www.polln.com/medicinal-cannabis-library/cbd-oil-explained,,200,5,5,,,2026-05-02
https://shop.polln.com/,,200,4,3,,,2026-05-23
https://www.polln.com/patient-portal,,200,4,1,,,2026-03-03
https://www.polln.com/medicinal-cannabis-library/sativa-vs-indica-vs-hybrid-cannabis-what-to-expect,,200,4,4,,,2025-11-24
https://www.polln.com/medicinal-cannabis-library/the-endocannabinoid-system-explained,,200,4,2,,,2026-05-01
https://patient.polln.com/,,200,3,2,,,2026-03-14
https://www.polln.com/for-clinicians/refer-your-patient,,200,3,3,,,2026-04-26
https://www.polln.com/medicinal-cannabis-library/ultimate-guide-to-vaping-medicinal-cannabis,,200,3,2,,,2025-11-09
https://www.polln.com/medicinal-cannabis-library/finding-the-right-medicinal-cannabis-dosage-for-you,,200,3,2,,,2026-04-28
https://www.polln.com/guides/free-patient-guide,,200,2,1,,,2026-03-03
https://www.polln.com/for-patients,,200,2,1,,,2026-03-03
https://patient.polln.com/login,,200,2,1,,,2026-03-03
"https://www.polln.com/medicinal-cannabis-library/ultimate-guide-to-vaping-medicinal-cannabis#:~:text=Some%20of%20the%20benefits%20of,where%20immediate%20relief%20is%20required.",,200,2,2,,,2025-11-27
https://www.polln.com/medicinal-cannabis-library/does-medicinal-cannabis-help-you-sleep,,200,2,1,,,2026-04-12
"https://www.polln.com/library/sativa-vs-indica-vs-hybrid-cannabis-what-to-expect#:~:text=In%20terms%20of%20their%20intoxicating,of%20their%20high%20THC%20content.",,200,2,1,,,2026-05-11
https://www.polln.com/medicinal-cannabis-library/plant-medicine-medicinal-cannabis-and-chronic-pain,,200,2,2,,,2026-05-01
https://www.polln.com/medicinal-cannabis-library/natural-alternatives-medicinal-cannabis-and-mental-health,,200,2,2,,,2026-05-01
https://www.polln.com/medicinal-cannabis-library/do-i-need-to-take-tolerance-breaks-from-cannabis,,200,2,2,,,2026-04-26
https://www.polln.com/medicinal-cannabis-library/the-endocannabinoid-system-explained#6-ways-to-balance-your-endocannabinoid-system,,200,2,2,,,2026-05-03
https://www.polln.com/medicinal-cannabis-library/the-endocannabinoid-system-explained#cbd-and-the-endocannabinoid-system,,200,2,2,,,2026-05-03
https://www.polln.com/medicinal-cannabis-library/the-endocannabinoid-system-explained#thc-and-the-endocannabinoid-system,,200,2,2,,,2026-05-03
https://www.polln.com/medicinal-cannabis-library/the-endocannabinoid-system-explained#cbn-and-the-endocannabinoid-system,,200,2,2,,,2026-05-03
https://www.polln.com/switch,,200,1,1,,,2026-01-30
https://www.polln.com/locations/sydney,,200,1,1,,,2026-01-30
https://www.polln.com/locations/melbourne,,200,1,1,,,2026-01-30
https://www.polln.com/pricing,,200,1,1,,,2026-03-03
https://www.polln.com/contact,,200,1,1,,,2026-03-03
https://www.polln.com/who-we-are,,200,1,1,,,2026-03-03
https://www.polln.com/practitioners/dr-bruna-leite,,200,1,1,,,2026-04-29
https://www.polln.com/medicinal-cannabis-library/the-endocannabinoid-system-explained#what-is-the-endocannabinoid-system,,200,1,1,,,2026-01-21
"https://www.polln.com/medicinal-cannabis-library/ultimate-guide-to-vaping-medicinal-cannabis#:~:text=Vaping%20is%20the%20process%20of,consuming%20cannabis%20flower%2C%20alongside%20smoking.",,200,1,1,,,2025-11-10
"https://www.polln.com/medicinal-cannabis-library/everything-you-need-to-know-about-cannabis-terpenes#:~:text=Mounting%20scientific%20evidence%20suggests%20that,potentially%20increase%20their%20therapeutic%20value.",,200,1,1,,,2026-02-16
"https://www.polln.com/medicinal-cannabis-library/everything-you-need-to-know-about-cannabis-terpenes#:~:text=Terpenes%20are%20also%20organic%20compounds,11)%20while%20cannabinoids%20do%20not.",,200,1,1,,,2025-11-25
https://www.polln.com/locations/gold-coast,,200,1,1,,,2026-03-19
https://shop.polln.com/products/volcano-medic-2,,200,1,1,,,2026-01-01
